Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[0.01013823],[0.01013599],[0.01013375],[0.01013151],[0.01012928],[0.01012704]
[0.01011969],[0.01012114],[0.01012259],[0.01012404],[0.01012549],[0.01012694]
[0.01012678],[0.01012087],[0.01011496],[0.01010906],[0.01010316],[0.01009727]
[0.01008945],[0.01010515],[0.01012086],[0.0101366],[0.01015237],[0.01016816]
[0.01022273],[0.01021408],[0.01020544],[0.0101968],[0.01018817],[0.01017955]
[0.01014975],[0.0101512],[0.01015265],[0.0101541],[0.01015555],[0.010157]
[0.01015218],[0.01014161],[0.01013106],[0.01012052],[0.01010998],[0.01009946]
[0.01006074],[0.01006487],[0.01006899],[0.01007312],[0.01007725],[0.01008138]
[0.01008678],[0.01007529],[0.01006381],[0.01005234],[0.01004088],[0.01002944]
[0.00998803],[0.00999332],[0.00999861],[0.01000391],[0.01000921],[0.01001452]
[0.01002253],[0.01000887],[0.00999523],[0.00998161],[0.00996801],[0.00995442]
[0.00989409],[0.00988902],[0.00988395],[0.00987888],[0.00987382],[0.00986876]
[0.00984264],[0.0098369],[0.00983116],[0.00982543],[0.00981969],[0.00981396]
[0.00979118],[0.00979199],[0.00979281],[0.00979363],[0.00979444],[0.00979526]
[0.00980867],[0.0098187],[0.00982874],[0.00983879],[0.00984886],[0.00985893]
[0.00990968],[0.00991875],[0.00992783],[0.00993692],[0.00994602],[0.00995513]
[0.00998468],[0.00997667],[0.00996867],[0.00996068],[0.00995269],[0.00994471]
[0.00991461],[0.00991728],[0.00991994],[0.00992261],[0.00992528],[0.00992794]
[0.00993343],[0.00992801],[0.00992259],[0.00991717],[0.00991176],[0.00990635]
[0.00987708],[0.00986987],[0.00986266],[0.00985545],[0.00984825],[0.00984105]
[0.00982096],[0.00983106],[0.00984116],[0.00985127],[0.0098614],[0.00987153]
[0.00992183],[0.0099295],[0.00993717],[0.00994484],[0.00995252],[0.00996021]
[0.00999528],[0.00999789],[0.0100005],[0.01000311],[0.01000573],[0.01000834]
[0.0100122],[0.01000502],[0.00999784],[0.00999066],[0.00998349],[0.00997633]
[0.00993879],[0.00993043],[0.00992208],[0.00991373],[0.00990539],[0.00989706]
[0.00986281],[0.00986378],[0.00986475],[0.00986572],[0.00986669],[0.00986766]
[0.00987775],[0.00988371],[0.00988968],[0.00989565],[0.00990162],[0.0099076]
[0.00993389],[0.0099344],[0.00993492],[0.00993544],[0.00993596],[0.00993647]
[0.00993981],[0.00994095],[0.00994209],[0.00994323],[0.00994438],[0.00994552]
[0.00994379],[0.00993711],[0.00993043],[0.00992375],[0.00991708],[0.00991042]
[0.00987537],[0.00986949],[0.0098636],[0.00985773],[0.00985185],[0.00984598]
[0.00983316],[0.009846],[0.00985885],[0.00987172],[0.0098846],[0.0098975]
[0.00996096],[0.00996773],[0.00997451],[0.00998129],[0.00998807],[0.00999486]
[0.01003736],[0.01005031],[0.01006327],[0.01007625],[0.01008925],[0.01010227]
[0.01015411],[0.01014924],[0.01014438],[0.01013951],[0.01013465],[0.01012979]
[0.01009251],[0.01007618],[0.01005988],[0.0100436],[0.01002735],[0.01001112]
[0.0099403],[0.00993904],[0.00993778],[0.00993652],[0.00993526],[0.009934]
[0.00992951],[0.00993037],[0.00993122],[0.00993208],[0.00993294],[0.0099338]
[0.00994449],[0.0099515],[0.00995852],[0.00996554],[0.00997257],[0.00997961]
[0.01001479],[0.01001964],[0.0100245],[0.01002936],[0.01003423],[0.01003909]
[0.01006449],[0.01006888],[0.01007327],[0.01007766],[0.01008205],[0.01008644]
[0.01011565],[0.01012582],[0.010136],[0.01014619],[0.01015639],[0.0101666]
[0.01022082],[0.01023068],[0.01024054],[0.01025041],[0.01026029],[0.01027018]
[0.01032754],[0.01034174],[0.01035596],[0.0103702],[0.01038445],[0.01039873]
[0.01044488],[0.01043074],[0.01041663],[0.01040253],[0.01038845],[0.01037439]
[0.01032008],[0.01032469],[0.0103293],[0.01033392],[0.01033853],[0.01034315]
[0.01036643],[0.01037041],[0.01037438],[0.01037836],[0.01038234],[0.01038632]
[0.01040228],[0.0104016],[0.01040091],[0.01040023],[0.01039955],[0.01039887]
[0.01038375],[0.01037157],[0.0103594],[0.01034725],[0.01033511],[0.01032298]
[0.01027094],[0.01027092],[0.01027089],[0.01027087],[0.01027085],[0.01027082]
[0.01026746],[0.01026419],[0.01026092],[0.01025766],[0.0102544],[0.01025113]
[0.01024646],[0.01025592],[0.01026539],[0.01027487],[0.01028436],[0.01029385]
[0.01033693],[0.01033871],[0.01034048],[0.01034226],[0.01034404],[0.01034581]
[0.01034429],[0.01033503],[0.01032577],[0.01031652],[0.01030728],[0.01029805]
[0.01024938],[0.01024105],[0.01023274],[0.01022442],[0.01021612],[0.01020782]
[0.01016186],[0.0101521],[0.01014236],[0.01013263],[0.0101229],[0.01011319]
[0.01006255],[0.01005427],[0.010046],[0.01003773],[0.01002948],[0.01002123]
[0.00998741],[0.00998956],[0.00999172],[0.00999388],[0.00999604],[0.00999819]
[0.01001071],[0.01001376],[0.0100168],[0.01001985],[0.01002289],[0.01002594]
[0.01004864],[0.01005795],[0.01006727],[0.01007659],[0.01008593],[0.01009527]
[0.01013945],[0.01014219],[0.01014492],[0.01014765],[0.01015039],[0.01015313]
[0.01016557],[0.01016615],[0.01016673],[0.01016731],[0.01016788],[0.01016846]
[0.01017057],[0.01017013],[0.01016969],[0.01016925],[0.01016881],[0.01016837]
[0.0101869],[0.01020745],[0.01022804],[0.01024867],[0.01026935],[0.01029006]
[0.01038605],[0.01039161],[0.01039716],[0.01040272],[0.01040828],[0.01041384]
[0.01043277],[0.01042824],[0.01042371],[0.01041918],[0.01041465],[0.01041012]
[0.01039443],[0.01039854],[0.01040266],[0.01040677],[0.01041089],[0.01041501]
[0.01043865],[0.01044419],[0.01044973],[0.01045527],[0.01046081],[0.01046636]
[0.01048219],[0.01047341],[0.01046464],[0.01045587],[0.01044711],[0.01043836]
[0.01040075],[0.01040097],[0.01040119],[0.01040141],[0.01040163],[0.01040185]
[0.01040048],[0.01039815],[0.01039582],[0.01039349],[0.01039116],[0.01038883]
[0.01038014],[0.01038187],[0.01038359],[0.01038531],[0.01038704],[0.01038876]
[0.01040723],[0.01041795],[0.01042867],[0.01043941],[0.01045016],[0.01046092]
[0.01050532],[0.01050105],[0.01049679],[0.01049252],[0.01048826],[0.010484]
[0.01046409],[0.01046339],[0.01046269],[0.01046198],[0.01046128],[0.01046058]
[0.0104436],[0.01042993],[0.01041628],[0.01040264],[0.01038903],[0.01037543]
[0.01032893],[0.01034397],[0.01035903],[0.01037411],[0.01038922],[0.01040435]
[0.0104764],[0.01048044],[0.01048449],[0.01048853],[0.01049258],[0.01049663]
[0.01052368],[0.01053281],[0.01054193],[0.01055107],[0.01056022],[0.01056937]
[0.01059922],[0.01058836],[0.01057751],[0.01056668],[0.01055585],[0.01054504]
[0.01049715],[0.01049908],[0.01050101],[0.01050294],[0.01050488],[0.01050681]
[0.01050169],[0.01048805],[0.01047443],[0.01046082],[0.01044724],[0.01043367]
[0.01037805],[0.01038224],[0.01038643],[0.01039063],[0.01039483],[0.01039903]
[0.01042099],[0.01042448],[0.01042797],[0.01043146],[0.01043496],[0.01043845]
[0.01044378],[0.01043367],[0.01042358],[0.0104135],[0.01040342],[0.01039336]
[0.01034748],[0.01034524],[0.01034299],[0.01034075],[0.01033851],[0.01033627]
[0.01032565],[0.01032511],[0.01032458],[0.01032404],[0.01032351],[0.01032297]
[0.01032531],[0.01033002],[0.01033474],[0.01033945],[0.01034417],[0.01034889]
[0.01037116],[0.01037202],[0.01037289],[0.01037375],[0.01037461],[0.01037547]
[0.01038568],[0.01039196],[0.01039826],[0.01040455],[0.01041085],[0.01041716]
[0.01043437],[0.01042279],[0.01041122],[0.01039966],[0.01038812],[0.01037658]
[0.0103187],[0.01031326],[0.01030781],[0.01030237],[0.01029692],[0.01029149]
[0.01027239],[0.01027798],[0.01028357],[0.01028916],[0.01029476],[0.01030036]
[0.01033087],[0.01033584],[0.01034081],[0.01034579],[0.01035076],[0.01035574]
[0.01038228],[0.01038608],[0.01038988],[0.01039367],[0.01039747],[0.01040127]
[0.01042589],[0.01043074],[0.01043559],[0.01044045],[0.01044531],[0.01045017]
[0.01049127],[0.0105066],[0.01052196],[0.01053734],[0.01055274],[0.01056816]
[0.0106461],[0.0106529],[0.01065971],[0.01066652],[0.01067334],[0.01068016]
[0.01070924],[0.01070718],[0.01070511],[0.01070305],[0.01070098],[0.01069892]
[0.01068429],[0.01067909],[0.0106739],[0.0106687],[0.01066352],[0.01065833]
[0.01063311],[0.01063165],[0.0106302],[0.01062875],[0.0106273],[0.01062585]
[0.01059106],[0.01056384],[0.0105367],[0.01050962],[0.01048261],[0.01045568]
[0.01033721],[0.01034026],[0.0103433],[0.01034634],[0.01034939],[0.01035243]
[0.0103691],[0.01037251],[0.01037592],[0.01037933],[0.01038274],[0.01038616]
[0.01038668],[0.01037228],[0.0103579],[0.01034354],[0.01032921],[0.01031489]
[0.01025149],[0.01025041],[0.01024933],[0.01024826],[0.01024718],[0.0102461]
[0.01024227],[0.0102431],[0.01024393],[0.01024476],[0.01024559],[0.01024642]
[0.01024271],[0.01023535],[0.010228],[0.01022065],[0.01021331],[0.01020598]
[0.01015796],[0.01014248],[0.01012702],[0.01011158],[0.01009617],[0.01008078]
[0.01000463],[0.00999626],[0.00998791],[0.00997956],[0.00997122],[0.00996288]
[0.0099208],[0.00991507],[0.00990935],[0.00990362],[0.0098979],[0.00989219]
[0.00986372],[0.00986037],[0.00985702],[0.00985367],[0.00985032],[0.00984698]
[0.00983163],[0.00983111],[0.00983059],[0.00983008],[0.00982956],[0.00982905]
[0.00981916],[0.00981158],[0.00980401],[0.00979644],[0.00978888],[0.00978132]
[0.00973569],[0.0097238],[0.00971194],[0.00970008],[0.00968825],[0.00967642]
[0.00963947],[0.00965509],[0.00967074],[0.00968642],[0.00970212],[0.00971785]
[0.00978119],[0.00977505],[0.00976891],[0.00976277],[0.00975664],[0.00975051]
[0.00973121],[0.00973857],[0.00974593],[0.0097533],[0.00976068],[0.00976806]
[0.00979348],[0.00978656],[0.00977965],[0.00977275],[0.00976585],[0.00975895]
[0.00973167],[0.00973452],[0.00973737],[0.00974021],[0.00974306],[0.00974591]
[0.00975349],[0.00974854],[0.00974358],[0.00973863],[0.00973369],[0.00972874]
[0.00969762],[0.00968831],[0.00967902],[0.00966973],[0.00966046],[0.00965119]
[0.00960949],[0.00960895],[0.00960841],[0.00960788],[0.00960734],[0.0096068]
[0.00960785],[0.00961129],[0.00961472],[0.00961816],[0.0096216],[0.00962504]
[0.00964133],[0.00964222],[0.00964311],[0.009644],[0.00964489],[0.00964578]
[0.00964995],[0.00965012],[0.00965029],[0.00965045],[0.00965062],[0.00965079]
[0.00966304],[0.00967456],[0.0096861],[0.00969764],[0.00970921],[0.00972078]
[0.00976796],[0.00976236],[0.00975676],[0.00975117],[0.00974557],[0.00973998]
[0.00970567],[0.00969658],[0.00968749],[0.00967842],[0.00966936],[0.0096603]
[0.00961696],[0.00961444],[0.00961193],[0.00960941],[0.0096069],[0.00960439]
[0.00958201],[0.00957099],[0.00955998],[0.00954898],[0.009538],[0.00952703]
[0.00949218],[0.00950687],[0.00952158],[0.00953631],[0.00955106],[0.00956584]
[0.0096277],[0.00962312],[0.00961853],[0.00961396],[0.00960938],[0.0096048]
[0.00958762],[0.0095906],[0.00959357],[0.00959656],[0.00959954],[0.00960252]
[0.00960453],[0.0095933],[0.00958208],[0.00957087],[0.00955968],[0.0095485]
[0.00950067],[0.00950251],[0.00950436],[0.0095062],[0.00950805],[0.0095099]
[0.00951203],[0.00950596],[0.00949989],[0.00949382],[0.00948776],[0.0094817]
[0.00946123],[0.00946776],[0.0094743],[0.00948084],[0.00948738],[0.00949393]
[0.00951828],[0.00951305],[0.00950782],[0.0095026],[0.00949737],[0.00949215]
[0.00946613],[0.0094638],[0.00946146],[0.00945913],[0.0094568],[0.00945446]
[0.00945464],[0.00946546],[0.00947629],[0.00948713],[0.00949798],[0.00950885]
[0.00956448],[0.00957023],[0.009576],[0.00958176],[0.00958753],[0.00959331]
[0.00961303],[0.00960636],[0.00959968],[0.00959301],[0.00958634],[0.00957968]
[0.00955611],[0.00956302],[0.00956994],[0.00957687],[0.00958379],[0.00959073]
[0.00962967],[0.0096366],[0.00964354],[0.00965048],[0.00965742],[0.00966437]
[0.00970094],[0.00970544],[0.00970994],[0.00971444],[0.00971895],[0.00972346]
[0.00973518],[0.0097261],[0.00971702],[0.00970795],[0.00969889],[0.00968984]
[0.00965739],[0.00966684],[0.00967629],[0.00968575],[0.00969522],[0.0097047]
[0.00976633],[0.00978402],[0.00980175],[0.00981951],[0.0098373],[0.00985512]
[0.0099309],[0.00992481],[0.00991871],[0.00991262],[0.00990654],[0.00990045]
[0.00987484],[0.00987667],[0.0098785],[0.00988033],[0.00988216],[0.00988399]
[0.00988325],[0.00987421],[0.00986518],[0.00985616],[0.00984715],[0.00983814]
[0.00978038],[0.00976281],[0.00974527],[0.00972776],[0.00971028],[0.00969283]
[0.00960995],[0.00960607],[0.00960219],[0.00959832],[0.00959444],[0.00959057]
[0.00956012],[0.00954697],[0.00953384],[0.00952073],[0.00950764],[0.00949456]
[0.00942396],[0.00941088],[0.00939782],[0.00938478],[0.00937176],[0.00935875]
[0.00928451],[0.00926678],[0.00924908],[0.00923141],[0.00921378],[0.00919618]
[0.00911507],[0.00910899],[0.00910291],[0.00909684],[0.00909077],[0.00908471]
[0.00905314],[0.00904743],[0.00904172],[0.00903602],[0.00903032],[0.00902463]
[0.00898891],[0.00897775],[0.0089666],[0.00895547],[0.00894435],[0.00893324]
[0.0088857],[0.00888645],[0.00888719],[0.00888794],[0.00888869],[0.00888944]
[0.00889801],[0.00890334],[0.00890866],[0.00891399],[0.00891933],[0.00892467]
[0.00896619],[0.0089843],[0.00900245],[0.00902063],[0.00903884],[0.0090571]
[0.00913178],[0.00912572],[0.00911966],[0.00911361],[0.00910756],[0.00910151]
[0.00908511],[0.00909497],[0.00910484],[0.00911472],[0.00912462],[0.00913452]
[0.00916974],[0.00916161],[0.00915348],[0.00914536],[0.00913725],[0.00912915]
[0.00908944],[0.00908504],[0.00908064],[0.00907624],[0.00907184],[0.00906745]
[0.00905231],[0.00905647],[0.00906062],[0.00906478],[0.00906894],[0.00907311]
[0.0090939],[0.00909624],[0.00909859],[0.00910094],[0.00910329],[0.00910564]
[0.00912091],[0.00912572],[0.00913053],[0.00913535],[0.00914017],[0.00914499]
[0.00916181],[0.00915673],[0.00915166],[0.00914659],[0.00914152],[0.00913646]
[0.00910805],[0.00910271],[0.00909737],[0.00909203],[0.0090867],[0.00908137]
[0.00904848],[0.00904034],[0.0090322],[0.00902407],[0.00901595],[0.00900783]
[0.00898052],[0.00899108],[0.00900165],[0.00901223],[0.00902282],[0.00903343]
[0.00908905],[0.0090952],[0.00910135],[0.00910751],[0.00911367],[0.00911983]
[0.00915462],[0.0091606],[0.00916658],[0.00917257],[0.00917856],[0.00918455]
[0.00920079],[0.00918905],[0.00917732],[0.0091656],[0.0091539],[0.00914221]
[0.00909824],[0.00910832],[0.00911843],[0.00912854],[0.00913866],[0.00914879]
[0.00919347],[0.00919104],[0.0091886],[0.00918617],[0.00918374],[0.00918131]
[0.00917255],[0.00917463],[0.00917671],[0.00917879],[0.00918087],[0.00918295]
[0.00919539],[0.00919815],[0.00920092],[0.00920368],[0.00920645],[0.00920921]
[0.00922441],[0.00922665],[0.00922889],[0.00923112],[0.00923336],[0.0092356]
[0.00924482],[0.00924414],[0.00924346],[0.00924278],[0.00924211],[0.00924143]
[0.00922988],[0.00922148],[0.00921308],[0.00920469],[0.0091963],[0.00918793]
[0.0091517],[0.00915465],[0.00915761],[0.00916057],[0.00916352],[0.00916648]
[0.00919625],[0.00921202],[0.00922782],[0.00924365],[0.0092595],[0.00927538]
[0.00933719],[0.00932399],[0.00931081],[0.00929765],[0.00928451],[0.00927138]
[0.00921769],[0.00922399],[0.0092303],[0.00923661],[0.00924293],[0.00924925]
[0.00928292],[0.00928785],[0.00929278],[0.00929771],[0.00930265],[0.00930759]
[0.00932855],[0.00932701],[0.00932548],[0.00932395],[0.00932241],[0.00932088]
[0.00932067],[0.0093275],[0.00933433],[0.00934117],[0.00934801],[0.00935486]
[0.00938585],[0.00938516],[0.00938447],[0.00938378],[0.00938309],[0.00938239]
[0.00937234],[0.0093655],[0.00935867],[0.00935184],[0.00934502],[0.0093382]
[0.00930469],[0.00930323],[0.00930176],[0.0093003],[0.00929884],[0.00929738]
[0.00929854],[0.00930665],[0.00931477],[0.00932289],[0.00933102],[0.00933915]
[0.00937395],[0.00937031],[0.00936667],[0.00936303],[0.00935939],[0.00935575]
[0.0093473],[0.00935612],[0.00936494],[0.00937378],[0.00938262],[0.00939147]
[0.00943012],[0.00942761],[0.0094251],[0.00942259],[0.00942008],[0.00941757]
[0.00941787],[0.0094301],[0.00944234],[0.0094546],[0.00946687],[0.00947916]
[0.00952957],[0.0095215],[0.00951344],[0.00950539],[0.00949735],[0.00948931]
[0.00946151],[0.00946629],[0.00947108],[0.00947587],[0.00948067],[0.00948546]
[0.00950993],[0.00951347],[0.00951702],[0.00952057],[0.00952411],[0.00952766]
[0.00954912],[0.00955369],[0.00955825],[0.00956282],[0.00956739],[0.00957196]
[0.0095919],[0.00959007],[0.00958824],[0.00958641],[0.00958458],[0.00958275]
[0.00956788],[0.00956033],[0.00955278],[0.00954524],[0.0095377],[0.00953018]
[0.00950859],[0.00951789],[0.00952721],[0.00953653],[0.00954586],[0.00955521]
[0.00960594],[0.00961189],[0.00961784],[0.0096238],[0.00962976],[0.00963572]
[0.00964928],[0.00963534],[0.00962142],[0.00960753],[0.00959365],[0.00957979]
[0.00951681],[0.00951943],[0.00952205],[0.00952468],[0.0095273],[0.00952993]
[0.00954599],[0.00954959],[0.00955319],[0.00955679],[0.00956039],[0.00956399]
[0.00959271],[0.00960422],[0.00961574],[0.00962727],[0.00963883],[0.00965039]
[0.00971447],[0.00972355],[0.00973264],[0.00974174],[0.00975085],[0.00975996]
[0.00981172],[0.00981997],[0.00982822],[0.00983649],[0.00984476],[0.00985303]
[0.00987717],[0.00986195],[0.00984675],[0.00983158],[0.00981643],[0.00980131]
[0.00973402],[0.00973749],[0.00974097],[0.00974444],[0.00974792],[0.0097514]
[0.00976344],[0.00975932],[0.00975519],[0.00975108],[0.00974696],[0.00974284]
[0.00972988],[0.00973352],[0.00973715],[0.00974079],[0.00974443],[0.00974807]
[0.00976701],[0.00976877],[0.00977052],[0.00977227],[0.00977402],[0.00977578]
[0.00977564],[0.00976718],[0.00975873],[0.00975029],[0.00974186],[0.00973343]
[0.00968504],[0.00967667],[0.00966831],[0.00965996],[0.00965161],[0.00964328]
[0.0095957],[0.00958763],[0.00957957],[0.00957152],[0.00956347],[0.00955543]
[0.00952527],[0.00953296],[0.00954067],[0.00954838],[0.0095561],[0.00956382]
[0.00959348],[0.00958641],[0.00957935],[0.00957229],[0.00956524],[0.0095582]
[0.00952899],[0.00953273],[0.00953647],[0.00954021],[0.00954396],[0.0095477]
[0.00957305],[0.00958061],[0.00958818],[0.00959574],[0.00960332],[0.0096109]
[0.0096545],[0.00966257],[0.00967065],[0.00967873],[0.00968683],[0.00969492]
[0.00971675],[0.00970054],[0.00968435],[0.0096682],[0.00965207],[0.00963596]
[0.00957189],[0.00957535],[0.00957881],[0.00958227],[0.00958573],[0.0095892]
[0.00960662],[0.009608],[0.00960937],[0.00961074],[0.00961211],[0.00961349]
[0.00961247],[0.00960505],[0.00959763],[0.00959022],[0.00958281],[0.00957541]
[0.00953455],[0.00952814],[0.00952173],[0.00951532],[0.00950892],[0.00950253]
[0.00947233],[0.00947205],[0.00947178],[0.0094715],[0.00947122],[0.00947094]
[0.00945603],[0.00944245],[0.00942888],[0.00941534],[0.00940181],[0.0093883]
